adm_1_name,Year,Month,YearMonth,dengue_total_month
THANH HOA,2005,8,2005-08-01,4.0
THUA THIEN - HUE,2005,8,2005-08-01,14.0
TIEN GIANG,2005,8,2005-08-01,401.0
TRA VINH,2005,8,2005-08-01,298.0
TUYEN QUANG,2005,8,2005-08-01,0.0
VINH LONG,2005,8,2005-08-01,144.0
VINH PHUC,2005,8,2005-08-01,11.0
YEN BAI,2005,8,2005-08-01,0.0
AN GIANG,2005,9,2005-09-01,399.0
BA RIA-VUNG TAU,2005,9,2005-09-01,73.0
BAC GIANG,2005,9,2005-09-01,0.0
BAC KAN,2005,9,2005-09-01,0.0
BAC LIEU,2005,9,2005-09-01,123.0
BAC NINH,2005,9,2005-09-01,0.0
BEN TRE,2005,9,2005-09-01,496.0
BINH DINH,2005,9,2005-09-01,51.0
BINH DUONG,2005,9,2005-09-01,128.0
BINH PHUOC,2005,9,2005-09-01,51.0
BINH THUAN,2005,9,2005-09-01,326.0
CA MAU,2005,9,2005-09-01,182.0
CAN THO CITY,2005,9,2005-09-01,191.0
CAO BANG,2005,9,2005-09-01,0.0
DA NANG CITY,2005,9,2005-09-01,9.0
DAK LAK,2005,9,2005-09-01,62.0
DAK NONG,2005,9,2005-09-01,1.0
DIEN BIEN,2005,9,2005-09-01,0.0
DONG NAI,2005,9,2005-09-01,342.0
DONG THAP,2005,9,2005-09-01,1442.0
GIA LAI,2005,9,2005-09-01,15.0
HA GIANG,2005,9,2005-09-01,0.0
HA NAM,2005,9,2005-09-01,4.0
HA NOI CITY,2005,9,2005-09-01,87.0
HA TAY,2005,9,2005-09-01,4.0
HA TINH,2005,9,2005-09-01,30.0
HAI DUONG,2005,9,2005-09-01,1.0
HAI PHONG CITY,2005,9,2005-09-01,0.0
HAU GIANG,2005,9,2005-09-01,100.0
HO CHI MINH CITY,2005,9,2005-09-01,688.0
HOA BINH,2005,9,2005-09-01,0.0
HUNG YEN,2005,9,2005-09-01,10.0
KHANH HOA,2005,9,2005-09-01,748.0
KIEN GIANG,2005,9,2005-09-01,286.0
KON TUM,2005,9,2005-09-01,0.0
LAI CHAU,2005,9,2005-09-01,0.0
LAM DONG,2005,9,2005-09-01,2.0
LANG SON,2005,9,2005-09-01,0.0
LAO CAI,2005,9,2005-09-01,0.0
LONG AN,2005,9,2005-09-01,227.0
NAM DINH,2005,9,2005-09-01,0.0
NGHE AN,2005,9,2005-09-01,3.0
NINH BINH,2005,9,2005-09-01,0.0
NINH THUAN,2005,9,2005-09-01,39.0
PHU THO,2005,9,2005-09-01,1.0
PHU YEN,2005,9,2005-09-01,21.0
QUANG BINH,2005,9,2005-09-01,0.0
QUANG NAM,2005,9,2005-09-01,0.0
QUANG NGAI,2005,9,2005-09-01,2.0
QUANG NINH,2005,9,2005-09-01,2.0
QUANG TRI,2005,9,2005-09-01,0.0
SOC TRANG,2005,9,2005-09-01,346.0
SON LA,2005,9,2005-09-01,0.0
